"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.23755932816939,0.83,0.304,0,"Cancer cell","KRT17"
0,2.13588226139481,0.878,0.418,0,"Cancer cell","KRT5"
0,1.97478253768437,0.641,0.195,0,"Cancer cell","KRT16"
0,1.8634852664205,0.913,0.606,0,"Cancer cell","S100A2"
0,1.82633623725145,0.768,0.34,0,"Cancer cell","MTRNR2L1"
0,1.82061537034976,0.873,0.425,0,"Cancer cell","MTRNR2L12"
0,1.77291415341504,0.762,0.196,0,"Cancer cell","KRT19"
0,1.75163209058474,0.924,0.543,0,"Cancer cell","FXYD3"
0,1.66764730510867,0.888,0.429,0,"Cancer cell","IFI27"
0,1.66701765782061,0.761,0.255,0,"Cancer cell","ABCC5"
0,1.64005191733095,0.464,0.102,0,"Cancer cell","KRT15"
0,1.63446112848853,0.799,0.328,0,"Cancer cell","GSTP1"
0,1.63308646524768,0.776,0.332,0,"Cancer cell","CD9"
0,1.58998894700191,0.448,0.035,0,"Cancer cell","LGALS7B"
0,1.58683417589671,0.936,0.649,0,"Cancer cell","KRT6A"
0,1.58682983506137,0.536,0.068,0,"Cancer cell","IGFBP2"
0,1.58588293433198,0.798,0.401,0,"Cancer cell","CSTA"
0,1.57636040615924,0.815,0.462,0,"Cancer cell","NEAT1"
0,1.56966225412594,0.598,0.145,0,"Cancer cell","SOX2"
0,1.56391707683261,0.561,0.148,0,"Cancer cell","APOL1"
0,1.53654224650748,0.615,0.257,0,"Cancer cell","FABP5"
0,1.53144423613508,0.899,0.729,0,"Cancer cell","S100A8"
0,1.52620104773529,0.463,0.122,0,"Cancer cell","MTRNR2L8"
0,1.51636997270999,0.751,0.314,0,"Cancer cell","PERP"
0,1.48399241549125,0.456,0.105,0,"Cancer cell","COL7A1"
0,1.48349110497922,0.953,0.705,0,"Cancer cell","S100A11"
0,1.42661870274632,0.603,0.201,0,"Cancer cell","CTB-36O1-5"
0,1.40739113056288,0.95,0.733,0,"Cancer cell","HSPB1"
0,1.38215854990093,0.898,0.596,0,"Cancer cell","S100A6"
0,1.36912279363546,0.768,0.338,0,"Cancer cell","COX6B1"
0,1.3435151455884,0.768,0.352,0,"Cancer cell","SPINT2"
0,1.33412606865297,0.72,0.255,0,"Cancer cell","LGALS3BP"
0,1.31006197929349,0.649,0.205,0,"Cancer cell","MIR205HG"
0,1.3079384556119,0.818,0.453,0,"Cancer cell","SFN"
0,1.29509306040062,0.954,0.861,0,"Cancer cell","GAPDH"
0,1.28799250743653,0.4,0.077,0,"Cancer cell","KRT16P1"
0,1.26358147467413,0.556,0.142,0,"Cancer cell","DNAJC19"
0,1.25064041452847,0.557,0.117,0,"Cancer cell","LTBR"
0,1.24314890062492,0.687,0.263,0,"Cancer cell","ROMO1"
0,1.22232475994237,0.736,0.438,0,"Cancer cell","KRT13"
0,1.21740986146048,0.493,0.113,0,"Cancer cell","SDC1"
0,1.21468583262467,0.505,0.112,0,"Cancer cell","PKP1"
0,1.18537982264044,0.494,0.115,0,"Cancer cell","H2AFJ"
0,1.18241197157037,0.556,0.139,0,"Cancer cell","EMP2"
0,1.17358694654077,0.987,0.988,0,"Cancer cell","MALAT1"
0,1.13635763061908,0.584,0.173,0,"Cancer cell","PLD3"
0,1.13579788780706,0.344,0.042,0,"Cancer cell","CALML3"
0,1.13439089220207,0.421,0.091,0,"Cancer cell","B3GNT5"
0,1.11714095320132,0.546,0.171,0,"Cancer cell","JUP"
0,1.11672741293174,0.489,0.126,0,"Cancer cell","DSP"
0,1.1135425490035,0.382,0.061,0,"Cancer cell","RBP1"
0,1.10027091678057,0.964,0.854,0,"Cancer cell","CSTB"
0,1.09713750404126,0.401,0.063,0,"Cancer cell","BLVRB"
0,1.09467761705827,0.472,0.113,0,"Cancer cell","PDCD5"
0,1.07752213329161,0.326,0.036,0,"Cancer cell","GPX2"
0,1.06705022952378,0.402,0.081,0,"Cancer cell","FAM162A"
0,1.05067827960435,0.529,0.171,0,"Cancer cell","ANAPC11"
0,1.04273005860686,0.602,0.189,0,"Cancer cell","ELF3"
0,1.03163744275307,0.603,0.209,0,"Cancer cell","YBX3"
0,1.01085780537822,0.464,0.104,0,"Cancer cell","LSR"
0,0.99502004319259,0.403,0.082,0,"Cancer cell","MRPS12"
0,0.985748973756802,0.592,0.239,0,"Cancer cell","FXR1"
0,0.968933571168792,0.555,0.198,0,"Cancer cell","SEM1"
0,0.925315275277296,0.666,0.302,0,"Cancer cell","ATN1"
0,0.90994403015418,0.73,0.446,0,"Cancer cell","LY6E"
0,0.878849823815911,0.79,0.497,0,"Cancer cell","ACTN4"
0,0.875036676411546,0.736,0.449,0,"Cancer cell","COX6C"
0,0.813936163935955,0.765,0.466,0,"Cancer cell","CLDN4"
0,0.81238869491145,0.801,0.578,0,"Cancer cell","TPI1"
0,0.679183914828034,0.927,0.849,0,"Cancer cell","ACTG1"
2.12381268862615e-306,0.980714255857973,0.391,0.074,5.37770610887028e-302,"Cancer cell","CKB"
1.72178791200705e-305,0.939112047654893,0.459,0.119,4.35973917199304e-301,"Cancer cell","DDR1"
3.04910380863675e-305,1.08185648427943,0.321,0.035,7.72063575384913e-301,"Cancer cell","DSG3"
