Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
RPL13P5	5.359988453	5.293337374	5.30826257	5.178670826	5.276295657	5.122428384	5.481166525	5.351373913	5.290158961	5.557195625
RPL14	10.35154785	10.42118233	10.5844101	10.43915735	10.35640894	10.65898968	8.102107364	10.38623186	10.47850267	10.64232397
RPL15	11.620571	12.09883318	11.18967192	12.34276794	11.48011915	12.13331547	7.770041765	11.72185529	12.04132865	12.31560143
RPL17	10.26293133	10.42186278	10.6205246	10.62827927	10.25422761	10.53446011	9.163392642	10.31885899	10.49751565	10.58658775
RPL18	12.89071647	13.37692576	12.72724191	13.38106973	12.90373501	13.40997426	8.669487458	12.84798125	13.11193767	13.45622606
RPL18A	11.79942204	12.16281372	12.14494789	12.2085741	11.88116075	12.27123053	10.03167034	11.8671874	12.10685593	12.37995564
RPL19	10.79248936	10.85486059	10.99776519	10.63821868	10.8846666	10.60327397	8.618165227	10.73888603	10.65753283	10.93592378
RPL21	11.13913052	11.25249061	11.17179939	11.29751046	11.18445315	11.44592547	10.40924013	11.21866566	11.19964908	11.45114749
RPL21P11	4.43892489	4.516229518	4.450531649	4.705994484	4.221119197	4.484937258	4.501018696	4.47064098	4.342227599	4.581730854
RPL21P131	5.78019722	5.539462831	5.606045373	5.310550983	5.708350041	5.725986492	6.450459066	5.380272301	5.458965946	5.297708669
RPL21P28	11.28425153	11.39636931	11.34087377	11.42966827	11.35982641	11.58816649	10.45622092	11.35502618	11.34719503	11.55632403
RPL21P44	6.364280012	5.945151171	6.604299693	6.17909299	6.486843064	6.457774847	6.651955784	6.206664711	6.338780944	5.793820469
RPL22	6.291015944	6.157140749	6.349397126	6.6617496	6.546713919	6.445488353	6.73755157	6.293101904	6.18104489	6.589203196
RPL22L1	5.447268408	5.923341749	5.832328013	6.033803999	5.701701524	6.319749785	5.520126764	5.757073932	5.92689845	6.275215687
RPL22P11	9.089349907	8.837093391	9.457032477	8.735145539	8.999615049	8.665309991	9.955755212	8.996810729	8.69624953	8.750994371
RPL22P19	7.761531287	7.379378367	7.925981622	7.316580224	7.737747593	7.352378949	8.237123899	7.433276632	7.23175879	7.273823567
RPL23	7.65725413	7.761371715	7.928577592	7.630259843	7.625431235	7.514587825	6.940648352	7.792686195	7.557892521	7.634310103
RPL23A	12.35695702	12.2010607	12.51146761	12.37895346	12.30594375	12.45462305	10.92659042	12.32892853	12.21683865	12.36685586
RPL23AP12	4.41223279	4.275021951	4.263252296	4.300218925	4.364215216	4.241130862	4.645695895	4.32759396	4.196669988	4.126617754
RPL23AP32	7.169073159	6.921531542	7.143138279	6.744255298	7.230126141	6.72342204	7.717621593	7.05476167	6.970761643	6.735156583
RPL23AP53	5.466959861	5.390949649	5.191049341	5.502636117	5.47615159	5.298716961	5.810473952	5.202347192	5.070410796	5.488862016
RPL23AP64	5.478214677	5.478412086	5.583287401	5.313601402	5.515299297	5.400384225	5.276533886	5.47936639	5.46924782	5.548186906
RPL23AP7	9.477864564	9.239605998	9.418061321	9.366121372	9.319404181	9.327596567	10.45940369	9.4699699	9.219816748	9.105796108
RPL23P8	7.642651036	7.227240481	7.694545939	7.727573349	7.361320956	7.63108245	7.556360437	7.600009514	7.588159935	7.896538272
RPL24	11.09276774	11.35053049	11.38810643	11.52283633	11.25612199	11.42308111	7.8814273	11.2226982	11.3265765	11.63409558
